iter	Passed	Remaining
420	2427	3338
421	2433	3333
422	2439	3327
423	2445	3321
424	2451	3316
425	2454	3307
426	2460	3302
427	2466	3296
428	2472	3290
429	2478	3285
430	2484	3279
431	2490	3274
432	2495	3267
433	2501	3262
434	2507	3257
435	2514	3252
436	2520	3246
437	2526	3241
438	2532	3235
439	2538	3230
440	2544	3224
441	2549	3219
442	2555	3213
443	2561	3207
444	2566	3200
445	2571	3193
446	2576	3188
447	2582	3182
448	2588	3176
449	2594	3171
450	2600	3165
451	2606	3159
452	2611	3154
453	2617	3148
454	2623	3142
455	2628	3135
456	2635	3131
457	2641	3125
458	2647	3120
459	2653	3114
460	2659	3109
461	2664	3103
462	2670	3097
463	2676	3091
464	2682	3086
465	2688	3080
466	2694	3075
467	2700	3069
468	2706	3063
469	2712	3058
470	2717	3051
471	2722	3046
472	2728	3040
473	2734	3034
474	2739	3027
475	2745	3022
476	2751	3016
477	2757	3010
478	2763	3005
479	2768	2999
480	2774	2994
481	2780	2988
482	2786	2982
483	2792	2977
484	2798	2971
485	2802	2964
486	2807	2957
487	2813	2951
488	2818	2944
489	2822	2938
490	2827	2931
491	2833	2925
492	2839	2920
493	2844	2913
494	2849	2907
495	2854	2900
496	2860	2894
497	2865	2888
498	2871	2882
499	2877	2877
500	2882	2871
501	2887	2864
502	2893	2859
503	2899	2853
504	2904	2846
505	2909	2840
506	2918	2837
507	2923	2831
508	2927	2824
509	2933	2818
510	2939	2812
511	2945	2807
512	2951	2801
513	2955	2794
514	2960	2788
515	2965	2781
516	2970	2775
517	2976	2769
518	2981	2762
519	2986	2757
520	2991	2750
521	2997	2744
522	3003	2738
523	3007	2732
524	3012	2725
525	3017	2719
526	3023	2713
527	3028	2707
528	3032	2700
529	3037	2693
530	3043	2688
531	3048	2681
532	3053	2675
533	3059	2670
534	3064	2663
535	3069	2657
536	3075	2651
537	3080	2645
538	3085	2638
539	3090	2632
540	3094	2625
541	3099	2619
542	3104	2613
543	3109	2606
544	3115	2600
545	3120	2594
546	3124	2587
547	3129	2581
548	3134	2574
549	3139	2568
550	3143	2561
551	3148	2555
552	3153	2548
553	3157	2542
554	3162	2535
555	3167	2529
556	3172	2522
557	3176	2516
558	3181	2510
559	3186	2503
560	3191	2497
561	3196	2490
562	3200	2484
563	3205	2477
564	3209	2471
565	3214	2465
566	3219	2458
567	3224	2452
568	3229	2445
569	3233	2439
570	3238	2433
571	3243	2426
572	3247	2420
573	3252	2413
574	3257	2407
575	3262	2401
576	3266	2394
577	3271	2388
578	3276	2382
579	3281	2376
580	3285	2369
581	3290	2363
582	3295	2357
583	3300	2350
584	3305	2344
585	3309	2338
586	3314	2332
587	3319	2325
588	3323	2319
589	3328	2313
590	3333	2306
591	3338	2300
592	3342	2294
593	3347	2288
594	3352	2281
595	3357	2275
596	3361	2269
597	3366	2263
598	3371	2256
599	3375	2250
600	3380	2244
601	3385	2238
602	3389	2231
603	3395	2225
604	3399	2219
605	3404	2213
606	3409	2207
607	3413	2200
608	3418	2194
609	3423	2188
610	3427	2182
611	3432	2176
612	3437	2170
613	3442	2163
614	3446	2157
615	3451	2151
616	3456	2145
617	3461	2139
618	3465	2133
619	3470	2127
620	3475	2121
621	3479	2114
622	3484	2108
623	3489	2102
624	3493	2096
625	3498	2090
626	3503	2084
627	3508	2078
628	3516	2074
629	3521	2068
630	3526	2061
631	3530	2055
632	3535	2049
633	3540	2043
634	3544	2037
635	3549	2031
636	3554	2025
637	3559	2019
638	3563	2013
639	3568	2007
640	3572	2001
641	3577	1994
642	3582	1988
643	3586	1982
644	3591	1976
645	3596	1970
646	3600	1964
647	3605	1958
648	3610	1952
649	3615	1946
650	3620	1940
651	3625	1934
652	3630	1928
653	3634	1923
654	3639	1917
655	3644	1911
656	3649	1905
657	3654	1899
658	3659	1893
659	3663	1887
660	3668	1881
661	3673	1875
662	3677	1869
663	3682	1863
664	3687	1857
665	3691	1851
666	3696	1845
667	3701	1839
668	3705	1833
669	3710	1827
670	3715	1821
671	3720	1815
672	3724	1809
673	3729	1803
674	3734	1798
675	3739	1792
676	3743	1786
677	3748	1780
678	3753	1774
679	3757	1768
680	3762	1762
681	3767	1756
682	3772	1750
683	3776	1744
684	3790	1742
