iter	Logloss
0	0.6421434818
1	0.6007201579
2	0.5602834643
3	0.5254228164
4	0.4890023857
5	0.4527536117
6	0.4194239904
7	0.3930100261
8	0.3691574961
9	0.3445153291
10	0.3226012503
11	0.3040527844
12	0.2866892144
13	0.2725372432
14	0.2569322527
15	0.2432113711
16	0.2301790773
17	0.2187452
18	0.2065172415
19	0.1961008096
20	0.1893448349
21	0.1819562624
22	0.1752122624
23	0.1694063274
24	0.1642665235
25	0.1600791527
26	0.1548024193
27	0.1512526288
28	0.1460567468
29	0.1417774132
30	0.1378969839
31	0.1338767039
32	0.1303747577
33	0.1272438286
34	0.1237898916
35	0.1210751081
36	0.1188877462
37	0.1163067382
38	0.1135175821
39	0.1112850001
40	0.1088883469
41	0.1066997944
42	0.105635896
43	0.1035484775
44	0.1018087141
45	0.1004226223
46	0.09897731395
47	0.0975646941
48	0.0962594493
49	0.09462497163
50	0.09352221371
51	0.09304221231
52	0.09163437915
53	0.09066456952
54	0.08954099309
55	0.08895736555
56	0.08793337615
57	0.0870170561
58	0.08598612845
59	0.08569373745
60	0.08503992674
61	0.08407030017
62	0.08330042733
63	0.08241386319
64	0.08173028885
65	0.08112524431
66	0.08058469715
67	0.08012759799
68	0.07997642713
69	0.07946821634
70	0.0788949851
71	0.07830842536
72	0.07794444021
73	0.07749435928
74	0.07704541425
75	0.07658477132
76	0.07622410111
77	0.07593300151
78	0.07573686905
79	0.07536140023
80	0.07510890196
81	0.07477498895
82	0.07445449376
83	0.07404875936
84	0.07392687913
85	0.07366828731
86	0.07331032002
87	0.07295058718
88	0.07266693939
89	0.0723445571
90	0.07200884206
91	0.0717611518
92	0.071492707
93	0.07118071563
94	0.07090466586
95	0.07056647748
96	0.0702858113
97	0.07000682776
98	0.06983046458
99	0.0696098525
100	0.06946539661
101	0.0693549309
102	0.06915370106
103	0.06902645695
104	0.06881228576
105	0.06857131976
106	0.06845897853
107	0.0683530757
108	0.0682451794
109	0.06803471723
110	0.06790689833
111	0.06778837083
112	0.06769260628
113	0.06753289793
114	0.06744272959
115	0.06729817357
